,0_mean,1_mean,0_median,1_median
session_duration,27.184,22.03125,5.0,20.0
pages_visited,1.769,1.5729166666666667,1.0,1.0
avg_time_per_page,112.9876099834443,30.430208333333336,6.0,23.0
mouse_distance_avg,2778.896182829984,3483.086736170451,1291.3949584960938,2060.212646484375
mouse_avg_speed,1180.4582948600862,534.5988013664881,1010.8500061035156,501.60655212402344
mouse_max_speed,5535.485244978451,11880.842772653368,4882.47998046875,11566.18603515625
mouse_idle_time,0.0,0.0,0.0,0.0
mouse_sharp_turns,213.83514799999998,130.47604322916666,121.0,66.0
mouse_straight_movements,22.7811673,4.158507291666667,12.0,3.0
avg_scroll_depth,3531.7733845373323,5585.8649305555555,2420.0,3560.0
avg_scroll_speed,1070.158150840591,606.893646701177,785.695905049642,599.56640625
total_scrolls,7593.637,189.828125,138.0,184.5
total_clicks,11.592,1.6302083333333333,0.0,0.0
avg_time_between_clicks,136303.7668418007,32769.76530612245,3158.0,30217.0
avg_typing_speed,39.91056912238925,1.9756944179534912,0.0,0.0
avg_shortcut_use,0.09852205882352941,0.041666666666666664,0.0,0.0
